ParticipantID                       , ParticipantIdentifier, MessageID                           , EmailType, TemplateName          , ToEmailAddress   , SenderEmailAddress    , ContentVersion, Subject        , BounceType, BounceSubType
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , e369536c-596f-4ab6-90ed-3cded8fb23f8, Reminder , 7D_SURVEY_REMINDER_2  , p0011@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
32551c80-b925-417b-93a3-8d72e2de213a, P0042                , 72ba1ed4-8dd6-4d08-a058-1389413dc05b, Reminder , 4_6M_SURVEY_REMINDER_2, p0042@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
ebb28622-1607-4d77-b6f0-d99d03f87626, P0064                , 7751db3d-0812-4002-8bed-583def3f198c, Reminder , 3M_SURVEY_REMINDER_1  , p0064@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
c3cc9c9a-c920-4433-8779-c5fad3824dd6, P0081                , 880452e2-b6ea-4434-b3d1-593c02c0b667, Reminder , 24H_SURVEY_REMINDER_1 , p0081@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
6ab5b7de-f50c-46a9-9ee8-5fb7fb0daec5, P0145                , 14c7d4f0-7908-40ae-8e71-696ba0280b3e, Reminder , 4_6M_SURVEY_REMINDER_1, p0145@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
f4d96764-dd23-4ae7-907d-dc7e999bdfa2, P0187                , fd5410c9-6560-4d1f-8d25-163472999837, Reminder , 3M_SURVEY_REMINDER_1  , p0187@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
b3f78303-73cd-46e6-813b-4313645ebbe5, P0190                , 599c2239-24ff-4e1f-adb8-8e5092652f9a, Reminder , 1M_SURVEY_REMINDER_1  , p0190@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
bfec3a82-ad28-4a60-bddd-304754276df2, P0204                , 614ea27d-ecf9-4b38-9a54-74ae76cd419c, Reminder , 7D_SURVEY_REMINDER_1  , p0204@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
ac12a7cf-577d-41d7-85f2-faab86a7d88b, P0205                , d68f71d9-cf84-431d-a5b1-9abac198517b, Reminder , 24H_SURVEY_REMINDER_3 , p0205@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
c0e862ec-fdb2-4c72-ba8e-51cc435fa72e, P0206                , 3b271f81-521d-4e87-b2b0-53eafd9de152, Reminder , 7D_SURVEY_REMINDER_1  , p0206@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
c5ec03c2-21dc-4e4d-af21-33cdd7e6cc42, P0207                , d38d210c-d162-4aa0-9633-6a19b318f258, Reminder , 7D_SURVEY_REMINDER_2  , p0207@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
cd8c948d-502e-4833-bf7c-e58732e6e180, P0209                , 3c1400c5-0809-4517-bae1-a729cb2118be, Reminder , 24H_SURVEY_REMINDER_3 , p0209@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
4aa24097-59e3-440e-8fec-fc31f804d78f, P0212                , 1ff499a1-1747-4889-ad5e-85bb34b58dae, Reminder , 4_6M_SURVEY_REMINDER_2, p0212@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
b30b5d04-25aa-4323-a39d-7dac3cfeedb9, P0221                , 1f494abd-65b5-43d0-a801-cd2b2c61f61a, Reminder , 1M_SURVEY_REMINDER_1  , p0221@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
1f38cab0-7170-4db6-97e1-c92fe0f31cb9, P0269                , 113fffe2-0ca4-495d-a51d-e907e5b7c6dd, Reminder , 1M_SURVEY_REMINDER_2  , p0269@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
dfb6fee1-49b8-40dc-ac6e-16934278c992, P0277                , 24e3a223-5516-416c-b4a5-6ae69f3d18f7, Reminder , 4_6M_SURVEY_REMINDER_1, p0277@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
31746d32-b253-46f5-9d49-5d96c7588668, P0289                , a88121fa-b62a-47a4-9e84-0594da52551f, Reminder , 24H_SURVEY_REMINDER_1 , p0289@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
a281cdef-66ed-492f-bea6-78e8e7e65780, P0302                , e18ec01c-81ba-49c2-951d-52364c2415dd, Reminder , 7D_SURVEY_REMINDER_1  , p0302@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
607efef2-72b0-4330-8558-268c628c2d1a, P0326                , 0690ad22-990c-4e3e-b71d-6812d1960168, Reminder , 4_6M_SURVEY_REMINDER_2, p0326@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
650a3f4d-d698-459b-b7ce-eeb67d40552b, P0334                , 1873d04f-2d1f-49f1-887a-aebaa4e8c926, Reminder , 24H_SURVEY_REMINDER_1 , p0334@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
25895338-7a36-4b19-be50-b2c97e7a9b21, P0358                , 6982fdbd-202f-444e-a43c-c74f6ad6fb0a, Reminder , 7D_SURVEY_REMINDER_2  , p0358@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
ed571bf2-0ecb-4969-b47b-208c71c656be, P0367                , 40012bf6-c25a-43fe-8f7f-d9f19c6f33c7, Reminder , 3M_SURVEY_REMINDER_1  , p0367@example.org, study-team@example.org,              5, Survey reminder, Permanent , General
d322fd02-64c1-4bda-8944-e96749a40d06, P0474                , 90b840bb-fcf6-4ba3-a0b1-afdd1ee26350, Reminder , 7D_SURVEY_REMINDER_3  , p0474@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
