ParticipantID                       , ParticipantIdentifier, MessageID                           , EmailType, TemplateName          , ToEmailAddress   , SenderEmailAddress    , ContentVersion, Subject        , ClickTimestamp      , ClickUserAgent                                        , ClickIPAddress, ClickLink                 , ClickLinkTags
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 31037711-a86c-4385-a867-acf1b18e33a9, Reminder , 24H_SURVEY_REMINDER_1 , p0002@example.org, study-team@example.org,              2, Survey reminder, 2025-05-05T18:04:40Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.13   , https://example.org/survey, "survey,reminder"
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , c24b32ac-4778-4884-9b0a-4523dc2d0abe, Reminder , 3M_SURVEY_REMINDER_3  , p0003@example.org, study-team@example.org,              1, Survey reminder, 2025-10-15T20:42:10Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.11   , https://example.org/survey, "survey,reminder"
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 5f3ec3fa-aa95-4c77-8fee-613f6ec22e2b, Reminder , 24H_SURVEY_REMINDER_2 , p0006@example.org, study-team@example.org,              5, Survey reminder, 2025-12-02T17:09:11Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.11   , https://example.org/survey, "survey,reminder"
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 63ba5ae1-52b0-4469-8803-079b0f3ab74f, Reminder , 24H_SURVEY_REMINDER_1 , p0007@example.org, study-team@example.org,              2, Survey reminder, 2025-02-10T22:49:41Z, Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)          , 10.24.18.12   , https://example.org/survey, "survey,reminder"
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , ec1fd01d-9ada-42ea-8ba3-a4e059513c60, Reminder , 7D_SURVEY_REMINDER_1  , p0008@example.org, study-team@example.org,              1, Survey reminder, 2025-12-18T10:22:37Z, Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)          , 10.24.18.12   , https://example.org/survey, "survey,reminder"
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 614de62c-4a17-41c0-b023-f5c26e0d6941, Reminder , 1M_SURVEY_REMINDER_1  , p0008@example.org, study-team@example.org,              3, Survey reminder, 2026-01-10T09:56:37Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.13   , https://example.org/survey, "survey,reminder"
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , b8461ab2-7e5e-4b41-be45-6d986d0bf0af, Reminder , 24H_SURVEY_REMINDER_1 , p0009@example.org, study-team@example.org,              1, Survey reminder, 2025-03-29T17:32:46Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.13   , https://example.org/survey, "survey,reminder"
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 92c5e601-3553-4e38-9796-fb42f67cad5e, Reminder , 7D_SURVEY_REMINDER_1  , p0009@example.org, study-team@example.org,              4, Survey reminder, 2025-04-05T05:52:46Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.11   , https://example.org/survey, "survey,reminder"
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , a36cbfab-b95b-4efe-a8dd-3936feae4feb, Reminder , 1M_SURVEY_REMINDER_1  , p0009@example.org, study-team@example.org,              4, Survey reminder, 2025-04-28T08:40:46Z, Mozilla/5.0 (Linux; Android 14; Pixel 8)              , 10.24.18.11   , https://example.org/survey, "survey,reminder"
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 46a0a5b5-77e2-4a9e-8c3f-9ea41e520429, Reminder , 1M_SURVEY_REMINDER_3  , p0009@example.org, study-team@example.org,              5, Survey reminder, 2025-04-30T08:12:46Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.13   , https://example.org/survey, "survey,reminder"
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , b62babb3-2e91-4462-ba79-04cd16289526, Reminder , 24H_SURVEY_REMINDER_1 , p0011@example.org, study-team@example.org,              3, Survey reminder, 2025-08-23T11:25:42Z, Mozilla/5.0 (Linux; Android 14; Pixel 8)              , 10.24.18.12   , https://example.org/survey, "survey,reminder"
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , e369536c-596f-4ab6-90ed-3cded8fb23f8, Reminder , 7D_SURVEY_REMINDER_2  , p0011@example.org, study-team@example.org,              1, Survey reminder, 2025-08-31T00:38:42Z, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X), 10.24.18.12   , https://example.org/survey, "survey,reminder"
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , 9ffa307c-052e-427c-bea4-94ea9650a58c, Reminder , 3M_SURVEY_REMINDER_1  , p0011@example.org, study-team@example.org,              4, Survey reminder, 2025-11-21T08:02:42Z, Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)          , 10.24.18.12   , https://example.org/survey, "survey,reminder"
