ParticipantID                       , ParticipantIdentifier, MessageID                           , EmailType, TemplateName          , ToEmailAddress   , SenderEmailAddress    , ContentVersion, Subject        , ComplaintType, ComplaintUserAgent
f77e701b-e5d2-4e53-8dd7-5574a2cd9ce3, P0040                , e30f3e00-c4ae-4729-bfc8-c24f0facbda5, Reminder , 3M_SURVEY_REMINDER_3  , p0040@example.org, study-team@example.org,              3, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
47e65a23-f73d-4e97-8d8e-a907ffe8774a, P0073                , de5ead00-5938-4c10-8bf2-b2a24f9f99ce, Reminder , 1M_SURVEY_REMINDER_2  , p0073@example.org, study-team@example.org,              4, Survey reminder, Abuse        , Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X)
d8ae5455-3c73-4ae7-95d6-5dbb6ea72e12, P0133                , ae830de9-0d3c-45b2-bcd5-7cefd3ac0021, Reminder , 1M_SURVEY_REMINDER_1  , p0133@example.org, study-team@example.org,              2, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
8ce90ed1-8624-48a5-b3ba-e68d8f6cb35a, P0400                , 0e3c8214-25c4-422a-b5f9-c9c85cd8fa5a, Reminder , 24H_SURVEY_REMINDER_1 , p0400@example.org, study-team@example.org,              2, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
f370825c-fa5c-4ee8-bd99-ccb3bb354423, P0463                , 31109265-4a7d-4255-87a9-cd22241e0d29, Reminder , 4_6M_SURVEY_REMINDER_2, p0463@example.org, study-team@example.org,              2, Survey reminder, Abuse        , Mozilla/5.0 (Linux; Android 14; Pixel 8)
a0438346-2296-4605-89e8-57dc7226ee99, P0483                , 4e5ef234-b26f-4180-9e61-c6465bce97e6, Reminder , 4_6M_SURVEY_REMINDER_3, p0483@example.org, study-team@example.org,              5, Survey reminder, Abuse        , Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X)
89d72721-759f-4261-8a53-39facba61782, P0694                , ab39596f-b3c5-4562-8f53-5b5e21d8dff3, Reminder , 7D_SURVEY_REMINDER_1  , p0694@example.org, study-team@example.org,              1, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
1268adc1-28c9-499d-8f27-a4dc6bb3b390, P0720                , 75f19d2c-67c8-4d20-bfdc-2051c8e0fef5, Reminder , 3M_SURVEY_REMINDER_1  , p0720@example.org, study-team@example.org,              1, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
0f7333d5-0f15-4ab5-998d-93451cca3add, P0726                , 3a849143-3bff-425d-a0e2-9fae925b440c, Reminder , 24H_SURVEY_REMINDER_2 , p0726@example.org, study-team@example.org,              2, Survey reminder, Abuse        , Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X)
fc7486f3-8903-4bae-b95b-30a6ab7de4ec, P0731                , 810e9a38-ae99-4148-b60f-41e1590081b5, Reminder , 7D_SURVEY_REMINDER_1  , p0731@example.org, study-team@example.org,              3, Survey reminder, Abuse        , Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2)
de8f5984-f8b9-4b64-a8ee-1144f64ef2bb, P0774                , 55c4fe09-6684-41cc-bdaa-77e9c28e0b93, Reminder , 24H_SURVEY_REMINDER_1 , p0774@example.org, study-team@example.org,              5, Survey reminder, Abuse        , Mozilla/5.0 (Linux; Android 14; Pixel 8)
ebe52f7e-a693-4bdd-a50c-31b172ee9326, P0955                , 6a9d8c73-0593-4c75-8ee5-794efdaea022, Reminder , 7D_SURVEY_REMINDER_3  , p0955@example.org, study-team@example.org,              5, Survey reminder, Abuse        , Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X)
