ParticipantID                       , ParticipantIdentifier, Timestamp           , ContentVersion, NotificationIdentifier, NotificationType, Recipients       , StatusCode, TargetCustomField, RecipientOverride
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-02-16T19:16:40Z,              3, 24H_SURVEY_REMINDER_1 , Push            , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-02-23T19:16:40Z,              4, 7D_SURVEY_REMINDER_1  , SMS             , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-03-18T18:16:40Z,              2, 1M_SURVEY_REMINDER_1  , Push            , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-05-17T18:16:40Z,              5, 3M_SURVEY_REMINDER_1  , Email           , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-05-18T18:16:40Z,              4, 3M_SURVEY_REMINDER_2  , Email           , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-08-05T18:16:40Z,              2, 4_6M_SURVEY_REMINDER_1, SMS             , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-08-06T18:16:40Z,              4, 4_6M_SURVEY_REMINDER_2, SMS             , p0001@example.org, Succeeded ,                  , 
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-08-07T18:16:40Z,              4, 4_6M_SURVEY_REMINDER_3, SMS             , p0001@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-05-05T13:48:40Z,              3, 24H_SURVEY_REMINDER_1 , Email           , p0002@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-05-12T13:48:40Z,              1, 7D_SURVEY_REMINDER_1  , Push            , p0002@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-06-04T13:48:40Z,              5, 1M_SURVEY_REMINDER_1  , SMS             , p0002@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-08-03T13:48:40Z,              3, 3M_SURVEY_REMINDER_1  , Push            , p0002@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-09-04T13:48:40Z,              1, 4_6M_SURVEY_REMINDER_1, Email           , p0002@example.org, Succeeded ,                  , 
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-09-05T13:48:40Z,              1, 4_6M_SURVEY_REMINDER_2, Email           , p0002@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-07-15T15:47:10Z,              4, 24H_SURVEY_REMINDER_1 , SMS             , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-07-22T15:47:10Z,              5, 7D_SURVEY_REMINDER_1  , SMS             , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-08-14T15:47:10Z,              5, 1M_SURVEY_REMINDER_1  , Push            , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-10-13T15:47:10Z,              4, 3M_SURVEY_REMINDER_1  , Email           , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-10-14T15:47:10Z,              1, 3M_SURVEY_REMINDER_2  , Email           , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-10-15T15:47:10Z,              4, 3M_SURVEY_REMINDER_3  , Email           , p0003@example.org, Succeeded ,                  , 
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-11-26T16:47:10Z,              1, 4_6M_SURVEY_REMINDER_1, Push            , p0003@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-07-19T06:32:00Z,              3, 24H_SURVEY_REMINDER_1 , Push            , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-07-26T06:32:00Z,              1, 7D_SURVEY_REMINDER_1  , Email           , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-08-18T06:32:00Z,              2, 1M_SURVEY_REMINDER_1  , SMS             , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-08-19T06:32:00Z,              2, 1M_SURVEY_REMINDER_2  , SMS             , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-08-20T06:32:00Z,              4, 1M_SURVEY_REMINDER_3  , SMS             , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-10-17T06:32:00Z,              3, 3M_SURVEY_REMINDER_1  , SMS             , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-10-18T06:32:00Z,              3, 3M_SURVEY_REMINDER_2  , SMS             , p0004@example.org, Succeeded ,                  , 
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-12-25T07:32:00Z,              5, 4_6M_SURVEY_REMINDER_1, Push            , p0004@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-09T20:19:27Z,              4, 24H_SURVEY_REMINDER_1 , Push            , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-10T20:19:27Z,              4, 24H_SURVEY_REMINDER_2 , Push            , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-16T20:19:27Z,              5, 7D_SURVEY_REMINDER_1  , SMS             , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-17T20:19:27Z,              3, 7D_SURVEY_REMINDER_2  , SMS             , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-10-09T20:19:27Z,              5, 1M_SURVEY_REMINDER_1  , Email           , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-12-08T21:19:27Z,              5, 3M_SURVEY_REMINDER_1  , Email           , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-12-09T21:19:27Z,              5, 3M_SURVEY_REMINDER_2  , Email           , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-12-10T21:19:27Z,              1, 3M_SURVEY_REMINDER_3  , Email           , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2026-02-14T21:19:27Z,              3, 4_6M_SURVEY_REMINDER_1, Push            , p0005@example.org, Succeeded ,                  , 
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2026-02-15T21:19:27Z,              4, 4_6M_SURVEY_REMINDER_2, Push            , p0005@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-01T12:47:11Z,              5, 24H_SURVEY_REMINDER_1 , Email           , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-02T12:47:11Z,              3, 24H_SURVEY_REMINDER_2 , Email           , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-08T12:47:11Z,              3, 7D_SURVEY_REMINDER_1  , Push            , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-31T12:47:11Z,              5, 1M_SURVEY_REMINDER_1  , Push            , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-03-01T12:47:11Z,              3, 3M_SURVEY_REMINDER_1  , Email           , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-05T11:47:11Z,              4, 4_6M_SURVEY_REMINDER_1, Push            , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-06T11:47:11Z,              2, 4_6M_SURVEY_REMINDER_2, Push            , p0006@example.org, Succeeded ,                  , 
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-07T11:47:11Z,              1, 4_6M_SURVEY_REMINDER_3, Push            , p0006@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-02-10T09:38:41Z,              1, 24H_SURVEY_REMINDER_1 , Email           , p0007@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-02-17T09:38:41Z,              3, 7D_SURVEY_REMINDER_1  , SMS             , p0007@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-03-12T08:38:41Z,              2, 1M_SURVEY_REMINDER_1  , SMS             , p0007@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-05-11T08:38:41Z,              1, 3M_SURVEY_REMINDER_1  , SMS             , p0007@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-06-22T08:38:41Z,              3, 4_6M_SURVEY_REMINDER_1, Email           , p0007@example.org, Succeeded ,                  , 
917e3274-ef71-4230-a99d-0738bfd8908c, P0007                , 2025-06-23T08:38:41Z,              5, 4_6M_SURVEY_REMINDER_2, Email           , p0007@example.org, Succeeded ,                  , 
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2025-12-10T21:35:37Z,              1, 24H_SURVEY_REMINDER_1 , Push            , p0008@example.org, Succeeded ,                  , 
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2025-12-11T21:35:37Z,              4, 24H_SURVEY_REMINDER_2 , Push            , p0008@example.org, Succeeded ,                  , 
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2025-12-17T21:35:37Z,              2, 7D_SURVEY_REMINDER_1  , Email           , p0008@example.org, Succeeded ,                  , 
