ParticipantID                       , ParticipantIdentifier, MessageID                           , PhoneNumber , MessageType, FailureCode, FailureMessage   , Timestamp
10a375d1-9c4e-420c-8d06-ea850e2a12f5, P0013                , ed3a9e78-cd4e-49c7-9eeb-227f49136aea, +15550000013, Reminder   ,       30007, Carrier violation, 2025-09-05T15:30:41Z
2b0db1cd-a9a9-4812-afcb-008cc97fc13b, P0016                , 7a727e04-ec56-4c34-a5fa-4785429c793b, +15550000016, Reminder   ,       30007, Carrier violation, 2025-11-09T21:44:01Z
5d8b825e-2096-45f1-9555-18ef3bde48d6, P0022                , 87f00bcb-c94e-4ebb-ab79-03d35b676dc3, +15550000022, Reminder   ,       30007, Carrier violation, 2025-08-11T03:33:58Z
2423fe9e-5326-4109-841d-7d9c49eb029c, P0025                , 6e0bd904-bca6-4819-b098-968c0ea8c1e7, +15550000025, Reminder   ,       30007, Carrier violation, 2026-01-17T07:46:33Z
e4bfd8bb-a560-43af-a1d8-78eb0815157e, P0029                , a5f9aed6-a57d-4888-88e1-d9f6f3ee4fd0, +15550000029, Reminder   ,       30007, Carrier violation, 2026-02-05T01:48:15Z
c5685835-4d66-4fc0-85ae-41bb9498ad2f, P0030                , ac76e2c1-39b7-481f-9797-d367c9da1cf1, +15550000030, Reminder   ,       30007, Carrier violation, 2025-05-03T20:24:16Z
f77e701b-e5d2-4e53-8dd7-5574a2cd9ce3, P0040                , 7f86dbbb-6635-4111-86a4-4d6ea59bd103, +15550000040, Reminder   ,       30007, Carrier violation, 2025-07-17T21:48:32Z
5e6a48b4-9968-4faa-9d32-d20f2ab32b9a, P0053                , 08bbf024-0e43-42ac-b42b-0bf87255ffc1, +15550000053, Reminder   ,       30007, Carrier violation, 2025-09-14T03:57:47Z
2ba0ff4a-8531-4a0d-9916-f9048f7d6d5e, P0056                , 1281ede5-793c-4134-b2e1-1d557389d9fa, +15550000056, Reminder   ,       30007, Carrier violation, 2025-05-15T16:42:46Z
2cf4ab67-fa28-4dd5-b912-31bccb7d95ad, P0072                , 71221fb5-492b-4a77-ab53-9eecb3e747e9, +15550000072, Reminder   ,       30007, Carrier violation, 2025-10-11T13:43:21Z
7cea1968-ad5a-41f5-b264-ad2d6f5b1148, P0074                , 76ed154d-3bb8-4db0-8b47-fbc705cd6fa5, +15550000074, Reminder   ,       30007, Carrier violation, 2025-05-29T16:27:53Z
54e2e4d7-4ad3-4a5e-a7ab-ca3461e61e40, P0076                , 65f11072-9912-4d97-896b-1e4b427403d1, +15550000076, Reminder   ,       30007, Carrier violation, 2025-09-12T11:21:28Z
f074ffbe-8502-4805-a99d-fbf0d81d6f84, P0080                , fbc23b73-59c2-459f-8890-fdfe75494fc0, +15550000080, Reminder   ,       30007, Carrier violation, 2025-08-23T23:17:28Z
